timestamp_ns,packet_len,direction,emulation_mode
154561356771071,410,in,oai-rfsim-netns-veth-bpftime
154561356780935,30474,in,oai-rfsim-netns-veth-bpftime
154561356985305,410,in,oai-rfsim-netns-veth-bpftime
154561357274257,66,in,oai-rfsim-netns-veth-bpftime
154561357321611,98,in,oai-rfsim-netns-veth-bpftime
154561357331400,30474,in,oai-rfsim-netns-veth-bpftime
154561357346264,30474,in,oai-rfsim-netns-veth-bpftime
154561357351621,722,in,oai-rfsim-netns-veth-bpftime
154561357361789,30474,in,oai-rfsim-netns-veth-bpftime
154561357370913,30474,in,oai-rfsim-netns-veth-bpftime
154561357374153,754,in,oai-rfsim-netns-veth-bpftime
154561357398008,98,in,oai-rfsim-netns-veth-bpftime
154561357401798,30474,in,oai-rfsim-netns-veth-bpftime
154561357404383,378,in,oai-rfsim-netns-veth-bpftime
154561357412247,30474,in,oai-rfsim-netns-veth-bpftime
154561357423183,30474,in,oai-rfsim-netns-veth-bpftime
154561357433629,30474,in,oai-rfsim-netns-veth-bpftime
154561357455920,30474,in,oai-rfsim-netns-veth-bpftime
154561357470000,31922,in,oai-rfsim-netns-veth-bpftime
154561357474228,338,in,oai-rfsim-netns-veth-bpftime
154561357482087,98,in,oai-rfsim-netns-veth-bpftime
154561357488345,30474,in,oai-rfsim-netns-veth-bpftime
154561357497234,30474,in,oai-rfsim-netns-veth-bpftime
154561357499533,722,in,oai-rfsim-netns-veth-bpftime
154561357520053,30474,in,oai-rfsim-netns-veth-bpftime
154561357523697,410,in,oai-rfsim-netns-veth-bpftime
154561357534793,30474,in,oai-rfsim-netns-veth-bpftime
154561357542897,30474,in,oai-rfsim-netns-veth-bpftime
154561357556384,30474,in,oai-rfsim-netns-veth-bpftime
154561357558947,1098,in,oai-rfsim-netns-veth-bpftime
154561357568714,66,in,oai-rfsim-netns-veth-bpftime
154561357573895,66,in,oai-rfsim-netns-veth-bpftime
154561357580049,98,in,oai-rfsim-netns-veth-bpftime
154561357583874,30474,in,oai-rfsim-netns-veth-bpftime
154561357590582,30474,in,oai-rfsim-netns-veth-bpftime
154561357604319,30474,in,oai-rfsim-netns-veth-bpftime
154561357611197,1066,in,oai-rfsim-netns-veth-bpftime
154561357620784,30474,in,oai-rfsim-netns-veth-bpftime
154561357624719,410,in,oai-rfsim-netns-veth-bpftime
154561357701716,66,in,oai-rfsim-netns-veth-bpftime
154561357734580,98,in,oai-rfsim-netns-veth-bpftime
154561357745417,30474,in,oai-rfsim-netns-veth-bpftime
154561357750034,378,in,oai-rfsim-netns-veth-bpftime
154561357759639,30474,in,oai-rfsim-netns-veth-bpftime
154561357768653,30474,in,oai-rfsim-netns-veth-bpftime
154561357779120,30474,in,oai-rfsim-netns-veth-bpftime
154561357811409,1098,in,oai-rfsim-netns-veth-bpftime
154561357895957,66,in,oai-rfsim-netns-veth-bpftime
154561357910962,66,in,oai-rfsim-netns-veth-bpftime
154561357939834,98,in,oai-rfsim-netns-veth-bpftime
154561357950285,30474,in,oai-rfsim-netns-veth-bpftime
154561357954469,378,in,oai-rfsim-netns-veth-bpftime
154561357969099,30474,in,oai-rfsim-netns-veth-bpftime
154561357982009,30474,in,oai-rfsim-netns-veth-bpftime
154561357999267,30474,in,oai-rfsim-netns-veth-bpftime
154561358009857,1098,in,oai-rfsim-netns-veth-bpftime
154561358030601,66,in,oai-rfsim-netns-veth-bpftime
154561358038044,66,in,oai-rfsim-netns-veth-bpftime
154561358044420,98,in,oai-rfsim-netns-veth-bpftime
154561358444112,30474,in,oai-rfsim-netns-veth-bpftime
154561358480014,378,in,oai-rfsim-netns-veth-bpftime
154561358504071,98,in,oai-rfsim-netns-veth-bpftime
154561358625189,30474,in,oai-rfsim-netns-veth-bpftime
154561358632474,378,in,oai-rfsim-netns-veth-bpftime
154561358646756,30474,in,oai-rfsim-netns-veth-bpftime
154561359064275,30474,in,oai-rfsim-netns-veth-bpftime
154561359069735,754,in,oai-rfsim-netns-veth-bpftime
154561359106654,30474,in,oai-rfsim-netns-veth-bpftime
154561359116465,30474,in,oai-rfsim-netns-veth-bpftime
154561359125942,30474,in,oai-rfsim-netns-veth-bpftime
154561359134563,30474,in,oai-rfsim-netns-veth-bpftime
154561359150907,66,in,oai-rfsim-netns-veth-bpftime
154561359161011,1442,in,oai-rfsim-netns-veth-bpftime
154561359171363,30474,in,oai-rfsim-netns-veth-bpftime
154561359175549,410,in,oai-rfsim-netns-veth-bpftime
154561359185718,30474,in,oai-rfsim-netns-veth-bpftime
154561359188225,410,in,oai-rfsim-netns-veth-bpftime
154561359195627,30474,in,oai-rfsim-netns-veth-bpftime
154561359203481,30474,in,oai-rfsim-netns-veth-bpftime
154561359221987,30474,in,oai-rfsim-netns-veth-bpftime
154561359323721,30474,in,oai-rfsim-netns-veth-bpftime
154561359335518,1442,in,oai-rfsim-netns-veth-bpftime
154561359349101,98,in,oai-rfsim-netns-veth-bpftime
154561359354774,30474,in,oai-rfsim-netns-veth-bpftime
154561359364451,30474,in,oai-rfsim-netns-veth-bpftime
154561359389156,30474,in,oai-rfsim-netns-veth-bpftime
154561359398005,30474,in,oai-rfsim-netns-veth-bpftime
154561359495638,31922,in,oai-rfsim-netns-veth-bpftime
154561359707522,30474,in,oai-rfsim-netns-veth-bpftime
154561360262181,30474,in,oai-rfsim-netns-veth-bpftime
154561360287400,994,in,oai-rfsim-netns-veth-bpftime
154561360316935,98,in,oai-rfsim-netns-veth-bpftime
154561360323900,30474,in,oai-rfsim-netns-veth-bpftime
154561360335714,30474,in,oai-rfsim-netns-veth-bpftime
154561360346668,30474,in,oai-rfsim-netns-veth-bpftime
154561360375366,30474,in,oai-rfsim-netns-veth-bpftime
154561360823260,31922,in,oai-rfsim-netns-veth-bpftime
154561360833905,306,in,oai-rfsim-netns-veth-bpftime
154561360854658,98,in,oai-rfsim-netns-veth-bpftime
154561360861365,30474,in,oai-rfsim-netns-veth-bpftime
154561360872417,30474,in,oai-rfsim-netns-veth-bpftime
154561360983990,30474,in,oai-rfsim-netns-veth-bpftime
154561360990897,1066,in,oai-rfsim-netns-veth-bpftime
154561361007134,30474,in,oai-rfsim-netns-veth-bpftime
154561361010613,410,in,oai-rfsim-netns-veth-bpftime
154561361020238,30474,in,oai-rfsim-netns-veth-bpftime
154561361030288,30474,in,oai-rfsim-netns-veth-bpftime
154561361143330,30474,in,oai-rfsim-netns-veth-bpftime
154561361155721,1098,in,oai-rfsim-netns-veth-bpftime
154561361168718,30474,in,oai-rfsim-netns-veth-bpftime
154561361177839,30474,in,oai-rfsim-netns-veth-bpftime
154561361187122,754,in,oai-rfsim-netns-veth-bpftime
154561361190248,30474,in,oai-rfsim-netns-veth-bpftime
154561361212604,410,in,oai-rfsim-netns-veth-bpftime
154561361222506,66,in,oai-rfsim-netns-veth-bpftime
154561361326636,30474,in,oai-rfsim-netns-veth-bpftime
154561361346830,30474,in,oai-rfsim-netns-veth-bpftime
154561361359413,30474,in,oai-rfsim-netns-veth-bpftime
154561361372020,30474,in,oai-rfsim-netns-veth-bpftime
154561361641357,1442,in,oai-rfsim-netns-veth-bpftime
154561362276496,66,in,oai-rfsim-netns-veth-bpftime
154561362336551,98,in,oai-rfsim-netns-veth-bpftime
154561362362415,30474,in,oai-rfsim-netns-veth-bpftime
154561362388735,30474,in,oai-rfsim-netns-veth-bpftime
154561362399688,30474,in,oai-rfsim-netns-veth-bpftime
154561362424016,30474,in,oai-rfsim-netns-veth-bpftime
154561362577543,1410,in,oai-rfsim-netns-veth-bpftime
154561363010099,66,in,oai-rfsim-netns-veth-bpftime
154561363068494,98,in,oai-rfsim-netns-veth-bpftime
154561363077690,30474,in,oai-rfsim-netns-veth-bpftime
154561363081126,378,in,oai-rfsim-netns-veth-bpftime
154561363091546,30474,in,oai-rfsim-netns-veth-bpftime
154561363103444,30474,in,oai-rfsim-netns-veth-bpftime
154561363116376,30474,in,oai-rfsim-netns-veth-bpftime
154561363137245,1098,in,oai-rfsim-netns-veth-bpftime
154561363609916,66,in,oai-rfsim-netns-veth-bpftime
154561364114657,66,in,oai-rfsim-netns-veth-bpftime
154561364152936,98,in,oai-rfsim-netns-veth-bpftime
154561364168338,30474,in,oai-rfsim-netns-veth-bpftime
154561364173512,378,in,oai-rfsim-netns-veth-bpftime
154561364216280,30474,in,oai-rfsim-netns-veth-bpftime
154561364221193,410,in,oai-rfsim-netns-veth-bpftime
154561364249037,30474,in,oai-rfsim-netns-veth-bpftime
154561364252781,410,in,oai-rfsim-netns-veth-bpftime
154561364264606,30474,in,oai-rfsim-netns-veth-bpftime
154561364295472,30474,in,oai-rfsim-netns-veth-bpftime
154561364307523,30474,in,oai-rfsim-netns-veth-bpftime
154561364310503,1098,in,oai-rfsim-netns-veth-bpftime
154561364320367,30474,in,oai-rfsim-netns-veth-bpftime
154561364324451,410,in,oai-rfsim-netns-veth-bpftime
154561364331424,30474,in,oai-rfsim-netns-veth-bpftime
154561364354831,66,in,oai-rfsim-netns-veth-bpftime
154561364360460,66,in,oai-rfsim-netns-veth-bpftime
154561364371087,30474,in,oai-rfsim-netns-veth-bpftime
154561364374494,754,in,oai-rfsim-netns-veth-bpftime
154561364384460,30474,in,oai-rfsim-netns-veth-bpftime
154561364387213,410,in,oai-rfsim-netns-veth-bpftime
154561364394877,30474,in,oai-rfsim-netns-veth-bpftime
154561364405017,30474,in,oai-rfsim-netns-veth-bpftime
154561364437411,754,in,oai-rfsim-netns-veth-bpftime
154561364460397,66,in,oai-rfsim-netns-veth-bpftime
154561364469681,66,in,oai-rfsim-netns-veth-bpftime
154561364484422,98,in,oai-rfsim-netns-veth-bpftime
154561364492570,30474,in,oai-rfsim-netns-veth-bpftime
154561364502692,30474,in,oai-rfsim-netns-veth-bpftime
154561364506454,722,in,oai-rfsim-netns-veth-bpftime
154561364515195,30474,in,oai-rfsim-netns-veth-bpftime
154561364518614,410,in,oai-rfsim-netns-veth-bpftime
154561364526411,30474,in,oai-rfsim-netns-veth-bpftime
154561364568552,410,in,oai-rfsim-netns-veth-bpftime
154561364586470,66,in,oai-rfsim-netns-veth-bpftime
154561364592025,66,in,oai-rfsim-netns-veth-bpftime
154561364603218,98,in,oai-rfsim-netns-veth-bpftime
154561364610048,30474,in,oai-rfsim-netns-veth-bpftime
154561364614770,378,in,oai-rfsim-netns-veth-bpftime
154561364624499,30474,in,oai-rfsim-netns-veth-bpftime
154561364646811,30474,in,oai-rfsim-netns-veth-bpftime
154561364662040,30474,in,oai-rfsim-netns-veth-bpftime
154561364665004,1098,in,oai-rfsim-netns-veth-bpftime
154561364683900,66,in,oai-rfsim-netns-veth-bpftime
154561364689888,66,in,oai-rfsim-netns-veth-bpftime
154561364696853,98,in,oai-rfsim-netns-veth-bpftime
