cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
3011,19200,10575.7,-1,10940.6,gcp_kvm_cxl_bpftime_node1,measured
3012,19200,11237.3,-1,11732.3,gcp_kvm_cxl_bpftime_node1,measured
3013,19200,11229.5,-1,11665.2,gcp_kvm_cxl_bpftime_node1,measured
3014,19200,11162.3,-1,11552.3,gcp_kvm_cxl_bpftime_node1,measured
3015,19200,11051.7,-1,11472.6,gcp_kvm_cxl_bpftime_node1,measured
3016,19200,11227.8,-1,11612.8,gcp_kvm_cxl_bpftime_node1,measured
3017,19200,10649.5,-1,11041.7,gcp_kvm_cxl_bpftime_node1,measured
3018,19200,10844.6,-1,11296.7,gcp_kvm_cxl_bpftime_node1,measured
3019,19200,11262.6,-1,11352.7,gcp_kvm_cxl_bpftime_node1,measured
3020,19200,11186.5,-1,11636.6,gcp_kvm_cxl_bpftime_node1,measured
3021,19200,11052.0,-1,11486.1,gcp_kvm_cxl_bpftime_node1,measured
3022,19200,11031.6,-1,11468.8,gcp_kvm_cxl_bpftime_node1,measured
3023,19200,11171.9,-1,11450.4,gcp_kvm_cxl_bpftime_node1,measured
3024,19200,11195.3,-1,11478.6,gcp_kvm_cxl_bpftime_node1,measured
3025,19200,11267.7,-1,11696.4,gcp_kvm_cxl_bpftime_node1,measured
3026,19200,10695.0,-1,11177.1,gcp_kvm_cxl_bpftime_node1,measured
3027,19200,10527.0,-1,10931.2,gcp_kvm_cxl_bpftime_node1,measured
3028,19200,10898.3,-1,11324.6,gcp_kvm_cxl_bpftime_node1,measured
3029,19200,10601.7,-1,10959.2,gcp_kvm_cxl_bpftime_node1,measured
3030,19200,10790.8,-1,11167.7,gcp_kvm_cxl_bpftime_node1,measured
3031,19200,10684.1,-1,11048.2,gcp_kvm_cxl_bpftime_node1,measured
3032,19200,10549.1,-1,10884.9,gcp_kvm_cxl_bpftime_node1,measured
3033,19200,11288.7,-1,11699.0,gcp_kvm_cxl_bpftime_node1,measured
3034,19200,10966.0,-1,11398.8,gcp_kvm_cxl_bpftime_node1,measured
3035,19200,10844.3,-1,11319.3,gcp_kvm_cxl_bpftime_node1,measured
3036,19200,11195.5,-1,11724.6,gcp_kvm_cxl_bpftime_node1,measured
3037,19200,11511.2,-1,11782.9,gcp_kvm_cxl_bpftime_node1,measured
3038,19200,11054.3,-1,11369.8,gcp_kvm_cxl_bpftime_node1,measured
3039,19200,10999.6,-1,11227.7,gcp_kvm_cxl_bpftime_node1,measured
3040,19200,11287.9,-1,11669.1,gcp_kvm_cxl_bpftime_node1,measured
3041,19200,10662.8,-1,11096.4,gcp_kvm_cxl_bpftime_node1,measured
3042,19200,10932.3,-1,11311.8,gcp_kvm_cxl_bpftime_node1,measured
3043,19200,11246.7,-1,11643.1,gcp_kvm_cxl_bpftime_node1,measured
3044,19200,11147.8,-1,11677.6,gcp_kvm_cxl_bpftime_node1,measured
3045,19200,10767.8,-1,11291.1,gcp_kvm_cxl_bpftime_node1,measured
3046,19200,11057.3,-1,11430.5,gcp_kvm_cxl_bpftime_node1,measured
3047,19200,11140.5,-1,11434.7,gcp_kvm_cxl_bpftime_node1,measured
3048,19200,10761.6,-1,11014.8,gcp_kvm_cxl_bpftime_node1,measured
3049,19200,10518.8,-1,10983.9,gcp_kvm_cxl_bpftime_node1,measured
3050,19200,11014.4,-1,11477.7,gcp_kvm_cxl_bpftime_node1,measured
3051,19200,11011.2,-1,11312.2,gcp_kvm_cxl_bpftime_node1,measured
3052,19200,10657.0,-1,10932.3,gcp_kvm_cxl_bpftime_node1,measured
3053,19200,11232.3,-1,11628.5,gcp_kvm_cxl_bpftime_node1,measured
